profileName,review/summary,review/score
,hypnotic,4.0
Felicia C. Derian,"Complex, subtle, brilliant",5.0
,"A wonderful, thoughtful account of a troubling subject.",5.0
Shem,"The man of many faces, Dinshah Ghadialli",5.0
Charles Day,Students Welcome American Prof.,4.0
"""luckysquid""",among the greats,4.0
"Julie Johnson ""Julie""",A MUST-HAVE FOR ARABIC LEARNERS,5.0
cairo_guy,"Excellent software, but NOT an audio CD",5.0
Peter Raabye,A simple tool - but a real help!,5.0
M. Green,Good vocab review for intermediate learners,4.0
WM,A disappointingly simple tool,3.0
"Honey Bee ""Honey Bee""",Modern Standard Arabic,4.0
LESLIE J. MOORE,For climbers,5.0
"Shalom Freedman ""Shalom Freedman""",An excellent introduction to the work of Sartre,5.0
"""karthikeya""",An incredible piece,5.0
roberthoffman1906,used books rule,5.0
Midwest Book Review,A wonderful examination of American Basque women's culture,5.0
grasshopper4,Basking in Basque Folklore,4.0
Midwest Book Review,A timeless and memorable anthology,5.0
"S. A. Cartwright ""Stu Cartwright""",Give the Gift of Reading to the Children in Your Life,5.0
P. Bergin,Solid Collection,5.0
Cheryl,all social workers should read this,5.0
Naomi S. Castro,Patricia's Secret,5.0
Gonzalo Lira,Interesting,4.0
"""carolein""",Capitalists create the context within which Americans wander,4.0
"Megan ""Megan""",A must-read for all anglophiles,5.0
George Zee,Making a case for music,4.0
Trebleshooter,A Must-Read for Fine Arts Educators!,5.0
Robin E. Humphrey,Music makes you smarter,5.0
"D. Walrath ""Every Voice ECC""",Music with the Brain in Mind,5.0
Melissa,Wonderful book,5.0
"PMW ""Wilson""",Great,5.0
Sam Pea Mom,Excellent Book,5.0
Shawn M Kidwell,Most Informative,5.0
Taylor Munson,goju-ryu karate-do: fundamentals for traditional practitione,5.0
"Daniel ""urracadan""",Topol's a nut,4.0
Sylvia Shanahan,"Topol's Treasury of Jewish Humor, Wit and Wisdom",4.0
"M. Strong ""online advice columnist, etc.""",better late than never...,5.0
Page Turner,"He's too conservative to be a true muckraker, although...",4.0
,More Fiction than fact,1.0
Arch Stanton,If you're looking for information on the Kid.... This ain't it.,1.0
greg_mena@yahoo.com,Accurate Bio of the Young Henry McCarty,4.0
,Imagine a cross between Tom Clancy and Tom McGuane,5.0
"Orrin C. Judd ""brothersjudddotcom""",not his best,3.0
John R. Linnell,Unfortunately - mediocre,3.0
Ash Freeman,Sure,3.0
"Jason Baker ""Jason Baker""","Very funny, but not his best",4.0
Camryn@webtv.net,His vow to shame her cost him his heart!,5.0
"Grog ""baroque recorderist""",American Pharmacy in the 1800s,5.0
"Sean A. Lotz ""frseanl""",An excelent translation,5.0
"mtk5150 ""mtk5150""",Typical Oxford -- 3 1/2 Stars,4.0
Christopher J Bailey,Beautifully presented in every way,5.0
J. Anderson,Beautiful little Bible -- anglicised no problem for me,5.0
,what can be said?,5.0
Walter L. Schuler,Great Pocket Bible,5.0
"David J. Firth ""greenecology""","Good sized ""Good Book""",5.0
,New Revised Standard Version Pocket Bible (Anglicized ),5.0
,"Black bonded leather, with Apocrypha, strap flap closure",5.0
,Black Berkshire leather with Apocrypha,5.0
"Water Monkey ""Marc B.""",Good book for 6-8 years old,3.0
,SUPER Book!,5.0
Erich Dieter Groebe,One of the 5 Holy Books for Boston & Sandwich Glass Collectors,5.0
morrivas@hotmail.com,The best guide for the personal evolution,5.0
william ofarrill,The truth,5.0
Patty,Beautiful book!!,5.0
"Shuff Monk ""shuphi""",Krishnamurti would have hated having written this,1.0
ManishPriyadarshi,Best book must read,5.0
Fitnessa,"It is from Krishnamurti, but then again, it is not",5.0
"Carol C. Ramirez ""mrs ramirez""",A reputable seller,5.0
"Brian Moran ""inquisitive""",False,1.0
An Avid Reader,Mystical and Wise!,5.0
Brent R.,This is NOT Krishnamurti,1.0
,"Easily, one of the greatest books ever written",5.0
George Schaefer,Spiritual guidance from the East,4.0
,"for those of us who want to change what we can, ourselves.",5.0
,A wonderful journey to your own master.,5.0
,The entire spiritual path in brief,5.0
Dr Geo,This is what Discipleship is all about.,5.0
Reza Ganjavi,Don't buy this,1.0
"David A. Naess ""howdydave""",A precise illumination of a narrow path.,5.0
"C. Belmont ""cisne""",An inspiration to my life for many years,5.0
,This book was written through Master's inspiration.,5.0
orlando-marquez,A written masterpiece,5.0
Thomas Fortenberry,"Brilliant Sentiments, Indeed!",5.0
"thaloblue ""thaloblue""",Certainly not for beginners...,1.0
"M. C. Carrington ""Crochet Maniac""",Great Book for Beginners,5.0
K. J. Fowler,Quite straightforward patterns,4.0
M. Credeur,Pretty Straight-Forward,4.0
J. Tallant,Crocheting socks,4.0
kristin jorgensen,awsome!!,5.0
"J. Wolf ""Joyce""",Too Bulky,3.0
"tvtv3 ""tvtv3""",What's the Deal With Joy?,4.0
Lovestoast!,The PERFECT French grammar book,5.0
"Blu Villa Fan ""Linda W.""",Great story but a little tedious in places,4.0
"""tom@cedmagic.com""",Historical Account of RCA,4.0
,An excellent introduction to the Mongols,5.0
"K. AHearn ""AHearn""",For those who can't get the video...,5.0
,A riveting read,5.0
"Robert Scherb ""r_scherb""",One to remember,5.0
"M. C. Yu ""mechyuda""",The Book's Title is Self Explanatory,4.0
Ann,Creative and Inspiring,5.0
"Angel Lee ""Liocorno Amethyst Moonstone""",Fresh &amp; Creative ideas for decorating journals,5.0
C. Miller,Making Journals By Hand,5.0
A Reader,Way Cool Ideas!,5.0
"Lori K. Ludwig ""lk ludwig""",inspiring and informative,5.0
,this book needs two separate ratings...,3.0
kircur,Very Unique,5.0
Julie Lovisa,A gorgeous celebration of the visual journal.,5.0
"Aisling D'Art ""artist and author""",This one is a MUST-own!,5.0
tashina,The best book of the year!,5.0
,Highly Recommended.,5.0
Kristi Swede,If Only This Were Titled...,5.0
"""mhbooks""",Toxic -- except for the artists' journals,2.0
"The Pod ""sharybear""",For lovers of journals and art,5.0
Juliana Coles,From a Visual Journalar,5.0
"""selket""",Excellent book for ideas,5.0
Missnorth,Skimps on Content,2.0
,Doesn't live up to title,2.0
"Ruth Edlund ""dark goddess of replevin""","A Visual Treat, But Needs More Content",3.0
"Ellen Etc. ""Garret Books""","expansive techniques, but the art is up to us &#65533;",5.0
Kristy Christopherson,Awesome!!,5.0
Pauline Laing,Very Inspiring,5.0
kitty kat,love it,5.0
"M. Lane ""M.Lane""",Wonderful Ideas,5.0
K. S. Karshna,Inspiration!,5.0
Devourer of Worlds,Great inspirational book!,5.0
Tracy Clark,"Great Visual Reference! Sadly, intuitive instructions.",4.0
Janet Balletto,An Inspiration,5.0
". ""knitter""",journal making?,2.0
Astrasea,Final mesmirising chapter in fairytale trilogy,4.0
Kelly (Fantasy Literature),"Calling all teenage girls, part three...",5.0
Emily,Not my type of book,2.0
,EXCELENT PERFECT FABULOS SUPER,4.0
,I've never felt better!,5.0
,I'd give it 6+ stars if I could!,5.0
A. Vegan,Mandatory for office workers,4.0
,This is a God-send,5.0
,Desktop Yoga really works,5.0
_mads,Pictures would really improve this book,3.0
"Swallowtail ""Swallowtail""","Excellent book, especially for working people",5.0
C. LANFAIR,Good reference for long work days!,4.0
,A book your kids will go back to time and time again.,5.0
,my 7 year old loved it,5.0
"Unusually Unusual farmchick ""Tammie E.""",Resourceful imganination encouragement!,5.0
mhow,i could have written this,3.0
"""paratechnical""",Accident waiting to happen,1.0
Jalayne Weinfurtner,LOTS OF FUN,5.0
Ca Thatcher,Painting Fabulous Floorcloths,5.0
J. Buehring,Interesting,4.0
,Zombie Lover,3.0
Anthrophile,Ambivalence,2.0
,Good book&#65533;if you haven't read the others in the series.,4.0
,Enough with the Adult Conspiracy!,1.0
,Ok,3.0
John D Lewallen Jr,Enough with the Adult Conspiracy already!,3.0
"""infinitus""",Attention all Xanth fans...,5.0
Tuckerby,Enjoyable,3.0
Karen Tarp,book,3.0
jet,book,4.0
"""rhlove@home.com""",Fantasy Addict,5.0
Shay,The BEST Xanth novel so far...,5.0
Leeanna Chetsko,Xanth 22: Zombie Lover,3.0
"M ""CultOfStrawberry""",Enjoyable novel,4.0
,Vintage Xanth,5.0
,One of Anthony's best!,5.0
,Great!,5.0
,A Great new Anthony book. Full of puns. Old and new cast.,5.0
J. Price,What a shame,1.0
R. Swaney,Ehh...,2.0
Jessica Ellis,Just when you thought it couldn't get any better in Xanth,5.0
"""zombiemaster@netscape.net""",Amazing as the first Xanth novel,5.0
,The most complex yet potentially important yet!,5.0
,A great Xanth novel,5.0
"S. Marsh ""Jinx""",Can't put it down,5.0
,a comedy and romance to be cherished,5.0
Floyd,Another Excellent Achievment,5.0
,Amazing as the first Xanth novel,5.0
,Whats next?,5.0
,Xanth just keeps getting better and better.,5.0
,A Magicly Wonderful New Xanth Novel!!!,5.0
,"Zombie Lover or Sex,Sex,Sex",2.0
Bruce H,Western philosophy in 101 pages,4.0
Joshua J. Trimble,"Nice, handy, and lightweight philosophy dictonary.",4.0
"Ellen Fein ""Cancer Coach""",Adult Leukemia: A Comprehensive Guide for Patients and Famil,5.0
GrannyBarb,The Author Speaks,5.0
Mrs. Mary A. Reid,Value of &quot;Adult Leukemia&quot; for CLL patients,5.0
,Vital Reference,5.0
Stephen R. Sprague,Leukemians' Bible,5.0
Laura A. Day,Could be better,3.0
John Colby,One of a Kind--a Winner,5.0
Joy Cully,Adult Leukemia,5.0
Amy Ross Schramm,A Good Start,5.0
Scott FS,Excellent Overview of CLL,5.0
"Prof. Docwell ""Docwell""","The answers to a serious, life threatening disease",5.0
"Jodi P. ""joy""",aduklt leukemia,5.0
,Adult Leukemia: A Comprehensive Guide for Patients and Famil,5.0
,Pen and ink illustrations are the some of the best!,4.0
Charles Ashbacher,A tale of adventure from a boy left to his own wits on a regular basis,4.0
Anna,inspiring book on an important topic.....,4.0
,Give this book to every woman you know!,5.0
"Melinda Martin ""self help junkie""",About to buy this...,5.0
"""staceywinters""",I've told half the women I know about this one!,5.0
,not finding comfort in food,1.0
Home School Mom,Great deal!,5.0
HarvestWithShoutsofJoy,great book but what's with the price?,4.0
Frances N. Bailey,A booklet- not a textbook!,2.0
a well red lass,a handy manual for drawing 101,5.0
"Melanie Ellison ""Melanie Ellison, author of C...",great foundation for drawing,5.0
Alison Moore Smith,Every homeschool should have a copy,5.0
Rosemarie S Norton,user friendly,4.0
"Martha ""sept910""",A real gem!!,4.0
Nana,art book,4.0
J. Schutz,Anyone can learn to draw with this!,5.0
M T,Required for Art class,5.0
Gail Juarez,Time to Draw,5.0
"Amy Hines ""word lover""","Perfect -- simple & to the point, no wasted space",5.0
"Gail ""emma1701""",One of my top 10 favorites,5.0
,One of the best romance stories written,5.0
"Anne M. Marble ""Anne""",Wonderful farce about a stuff shirt,5.0
,My Favorite Regency of all Time,5.0
,Excellent,5.0
Layla Halabi,Extremely enjoyable book,5.0
"Dr W. Richards ""wmr-uk""",A hilarious romp of a love story,5.0
,Jensen's best regency yet,5.0
,Regency romance at its most amusing,5.0
,A Regency Must-Read,5.0
Leisa Demostene,it made me laugh out loud several times,5.0
"Avid Reader ""dswhung""",A far-fetched story,2.0
"Bob Epstein ""bepstein9""",A valuable book with some flaws,5.0
shekhar,This is a wonderful book,5.0
Sheryl,Mediating dangerously,5.0
Christine Penney,Alaskan Beauty,5.0
Andy Orrock,Remnick's master work,5.0
Paul Harder,Simply Excellent,5.0
Howard Schulman,what it was like to be in Moscow during the fall of the Soviet Union,5.0
J. Jacobs,Useful history,4.0
egolf@cnu.edu,I got interested in Soviet/Russian society through this book,5.0
,Deserving of the Pulitzer it won; but don't be scared by it.,5.0
,Fantastic Account of The Soviet Union,5.0
,"Engulfing , tremendous makes you feel like you were there",5.0
"mobuto ""-----""",Soviet Tocqueville,5.0
Brian D. Rubendall,The definitive account of the collapse of the Soviet Union,5.0
,Truly amazing.,5.0
,This is a great work.,5.0
Solipso,A Pulitzer Prize first-person account of the last days of the U.S.S.R.,5.0
Mike B,Magnificent,5.0
Girts Grisans,Useful insights,4.0
Ping Lim,Absolutely Fabulous,4.0
M. A. Krul,"Shallow and sensationalist, but thorough",3.0
Susan M. Bruner,Printing is WAY too small!,2.0
A. Sue Frishberg,Lenin's Tomb : The Last Days of the Soviet Empire,2.0
Gene Zafrin,Vivid account of the supremely confused time,5.0
Brian Leverenz,The Inevitability of Democracy and Freedom,5.0
,Outstanding,5.0
Elisabeth W. Movius,Incredibly done: the quintessencial Russia book,5.0
"Reynolds Potter ""Read The Best - Skip The Rest""",IT'S A KNOCKOUT !!,5.0
scott browne,A Fascinating Look at a Crumbling Empire,5.0
,A gripping account of the fall of the Soviet empire,5.0
Z. Blume,Russia Revealed,5.0
Daniel J. Hamlow,Cause of Death--An Overdose of GLASNOST,5.0
,A pathology report that will break your heart,5.0
"Lars Porsena ""Lars""",Still vital,5.0
,Spine Tingling History!,5.0
Steve Conover,Reads like a novel...,5.0
Aaron J Dohogne,unable to put it down,4.0
mgd,An incredible piece of journalism!,5.0
John T C,A respectable work of history,5.0
Dalton C. Rocha,"Fun and good, but with a few problems.",4.0
Dr K.,Good Story Teller But One Must Be A Detective To Gain Insight,3.0
C M Magee,Eyewitness to History,5.0
Donna Goldman,SO INTERESTING THAT YOU WILL SEARCH FOR MORE INFO,5.0
"D. Bunch ""Buzzzz Offff""",May it never go out of print.,5.0
,Deserves All The Praise It Gets,5.0
BJ Fischer,Great Book,5.0
,Definitely deserved pulitzer!,5.0
"scott89119 ""scott89119""",Lenin's Tomb by David Remnick,5.0
,YOU'LL NEVER LOOK AT HISTORY THE SAME WAY AGAIN...,5.0
Gordon Logan,The Secret behind the Moscow Coup,5.0
Steve Coll,Now I clearly understood why URSS fell so ignominously,5.0
"M. Hyman ""Artist at large""",Fascinating tour of the times leading up to and after the fall of the Soviet Union,5.0
T. Carlsen,Winner of the Pulitzer Prize. A Classic on the Unraveling of USSR,5.0
"West End Girl ""West End Girl""","A solid, overpriced beginning.",3.0
"Alana M. Moss ""qponchick""",Expensive for its information,3.0
Stephen Elderbrock,Eyewitnesses to War,5.0
Craig Matteson,Another treasure from the wonderul Library of America,5.0
"Michael J. Muller ""Adirondack Reader""",Remarkable First Hand Reporting,5.0
Shemogue,World War II as it happened,5.0
"Jorge F. M ""Jorge Flores""",Five - star journalism,5.0
Martin Fackelman,not happy,3.0
Noreen O'Brien,&quot;White Rock Ways&quot; Rocks!,5.0
Christopher Culver,Read the translations by Arrowsmith instead,3.0
Adrian Heathcote,Seek a better translation than this,2.0
Giordano Bruno,Modern madrigalists! Here's the poet to set to music!,5.0
"Rudolfo ""RF""",A great collection with useful annotations,5.0
Fhrid,Great Find,5.0
John Lederman,the poetry of translation,3.0
Midwest Book Review,A lyrical body of work by a truly gifted poet.,5.0
Debra G.,Real situations for pre-service English teachers,5.0
James Gallen,An 1890s Biography,2.0
"Shalom Freedman ""Shalom Freedman""",A work that speaks to the Jewish crisis even today,5.0
Lowrey Brendan,Great book to accompany SEAL military histories,5.0
,Great Book about SEALS in the Vietnam War,5.0
Kevin Paster,Hunters & Shooters,4.0
Ted Marks,The Real Deal on Navy SEALs,5.0
,Hunters And Shooters: An oral History of SEALs in Vietnam,5.0
John Ennis,SEAL TEAM TWO,5.0
"Georgie Cavitt ""an avid book reader""",Great insight into the Navy Seals Program,5.0
Pat O,Couldn't put this one down,5.0
wmcart@aol.com,"Good content, good first hand experiences with the teams.",4.0
,Cool book,4.0
,The book was a great reading.,5.0
,Famous &quot;Survivor&quot; included in book,4.0
"Rebecca of Amazon ""The Rebecca Review""",Even includes some traditional Tuscan Recipes,4.0
mollydog8,"Very, very poor printing - a bad copy of the original",1.0
Gail Cooke,DOG-GONE GOOD MORAL IN THIS STORY,5.0
Nagelmeister,Sweet little mutt - sweet little story,5.0
mama,Took some time to warm up to,4.0
"Samantha, 13",Wow!,4.0
"Richard Hamer ""vampire522""",'TWO LOVERS BY THE MAIDEN SATE'.................WONDERFUL,4.0
Tif,Decent But Not Great for Vegans,3.0
Enuja,Recipes too repetitive,1.0
Rose E.,Basic cookbook,4.0
Reader,fantastic food,5.0
,No Vegeterian Kitchen Should be Without!,5.0
"DeLight ""I Love to Cook Korean""","Recipes May Be Good, but There are Factual Errors in This Book",1.0
"dnk ""dnkboston""",The best of both worlds,5.0
Marathongirl,"Terrific, thorough, and lots for Vegans in here too...",5.0
Tracey Young,What a wonderful little cookbook!,5.0
Jennifer,Great for Vegetarian or Vegans,4.0
,Great Vegetarian//Vegan Cookbook!,4.0
John Walzer,"Korean Cooking, American-Style",4.0
,This are very tasty and easy to prepare dishes,5.0
,The best Korean Vegetarian book that I have ever seen.,5.0
Yeschef,"Good, simple...but limited Korean food",4.0
senna zee,Exactly what I was looking for,5.0
Timothy Walker,"Dated in Places, Timeless in Others",3.0
cxlxmx,mostly for collectors,4.0
,Self-respecting men should read this,4.0
,"Fasion, Fops, Faux Pas",2.0
Brian McDaniel,Dreadful,1.0
Colt 45,Style knowledge by Alan,4.0
H. Vellos,An Essential Part of your Collection,4.0
"Aaron M. Bomar ""BOMAR""",very good,4.0
,This is really two books in one,4.0
Nicholas Antongiavanni,"Great, if limited",4.0
GPK,Overrated book,2.0
,A wonderful companion and extension of Clothes and the Man,5.0
100452.3353@compuserve.com George Montgomery,You can safely judge this book by its jacket.,5.0
,Terrible,1.0
MEHMET ZALP BiROL,FOR THOSE WHO LIKE ONLY THE BEST !,5.0
,An ageing shopping guide for dandies,4.0
"Christopher Foley ""haberdasher""",Dated yet still relevant,4.0
,This book is over-rated and misleading,2.0
"""empire-builder""",Source of Valuable Men's Clothing Information,4.0
dcreader,A guide for all of us...,5.0
"""a-mar""",Expert to the experts,5.0
"Frederic Woodbridge ""Fred""","Outdated sure, but still relevant",4.0
Christopher Gonzales,The men's garment bible,5.0
"""pdomin""",great guide,4.0
,FLUSSER'S LATEST IS A MUST READ,5.0
"Robert S. Frey ""Editor/Publisher, BRIDGES: A...",Significant book on integrated environmental management.,5.0
N. Quast,Business is murder,5.0
,Nice and tence,5.0
"Shirley Priscilla Johnson ""Author/Reviewer -...",A Very Helpful Read!,5.0
C. Kendall,Succeed at Work Without Sidetracking Your Faith by Amy C. Baker,4.0
"Reader Views ""Reviews, by readers, for readers""",highly recommend for Christian women,5.0
Spitzer,Oz-some book!,5.0
Kiwi Gal,"The ""Bible"" for Diabetics!",5.0
Diana D. Mckinney,Changed My Life,5.0
E. Aboufadel,"If you have type 1 diabetes, buy this book.",5.0
reader,The ultimate reference for diabetes,5.0
"H. W. Richardson ""Korban""",My Gold Standard for the treatment of my diabetes,5.0
Writer of Books,Thank YOU Dr. Bernstein!,5.0
"T. Harless ""Lemonette""",This is THE book on Diabetes,5.0
Kayla Jose,Tough Practical Approach,5.0
I. L. Tillem,"Excellent, but challenging",5.0
Rolene M. Barnhart,"This is, in my opinion, the best tool for Diabetics!",5.0
,Not for the scientifically inclined....,2.0
"Reginald F. Fung ""beachbabydaddy""",living with diabetes,5.0
Karen S. Ginter,Dr. Bernstein's Diabetes Solution Rocks !,5.0
H. Tuck,Great Resource,5.0
TheAuctionGeeks,Very Informative on maintaing normal blood sugars,4.0
Manveer,Dangerous!!!!!!!!!!!!!!!,3.0
"Aunt Char ""honest reviewer""",Good step forward,4.0
"J. Jorgensen ""luvmykids""",great reading,4.0
"D. S. Hemmer ""davedood""","helpful, but try these suggestions, too:",4.0
Prabha Krishnan,"Sorry, not convincing at all",1.0
PATRICIA ESPEUT,DR BERNSTEIN'S DIABETES SOLUTION,5.0
P. L. High,"It can save your vision, limbs & life",5.0
S. Shetter,it works,5.0
MG,An Absolute Breakthrough,5.0
"Louann M. Glasgow ""new diabetic""",As a new diabetic,5.0
"Alice B. Maturin ""PlainlyJane""",Dr. Bernstein gave us back our Control!,5.0
"Kathy ""Kathy""",Unbeatable Diabetic Bible,5.0
"K. Y. Krawczyk ""sew pro""",Great book,5.0
Kathlyn Campbell,unbelievable results,5.0
Roger Holmen,Dr. Bernstein's Diabetes Solution,5.0
"Mrs. Alison J. Smart ""clearviews""",Diabetes Solution,5.0
Linwood Flick,The one book all Diabetics should own!,5.0
"BarbieBoston ""BarbieBoston""",This book is life-saving!,5.0
M. Carruthers,This book is packed with information on Diabetes!,5.0
David C. Smith,Dr. Bernstein is GREAT!!!,5.0
Michael S. Holtcamp,Newly Diagnosed Diabetic Looking For Information,4.0
George Moss,"Thank you, Dr. Bernstein",5.0
HopeIsInJesus,HELPFUL Diabetic Book! LOVE IT!,5.0
Randy C. Patterson,Dr. Bernstein's Diabetes Solution,5.0
Mustafa Uner Karacaoglu,excellent diabetes guide,5.0
E. Pyle,Very interesting book,4.0
Thomas R. Hester,Diabetes Solutiions,5.0
S. Culwell,5 star review is not enough!!,5.0
"Madeline B. Ogle PhD ""Restoration Years""",Dr RIchard Bernsteins Completre Guide to Normal Blood Sugars,4.0
"R. Bradley ""rbrad""",no one knows better how to treat diabetes with diet than Bernstein,5.0
F. Groenendijk,Eyeopener,5.0
"The oracle Jane ""jane""",best ever re diabetes;,5.0
Kathleen Flores,Excellent book!,5.0
Lucy Konkin,Excellent Diabetes Reading,5.0
Book Glutton,Dr. Berstein knows from personal experience!,5.0
"David Spero ""David Spero RN""",An Amazing Resource - But a Very Demanding Program,4.0
RB,The Only Book that Caters to Very Intensive Diabetes Mgt.,5.0
"Manny Hernandez ""@askmanny""",480 pages that won't raise your blood sugar!,5.0
Dennis Delaurier,This book is a solution!,5.0
"Tex Lawn Guy ""ctg13""",This book changed my life,5.0
"Eric L., Yarnell",Practical &amp; effective,5.0
Karen A. Robertson,Astounding amounts of information,4.0
Michael Cummings,My Little Girl Needs her Daddy,5.0
"Livin' La Vida Low-Carb Man ""Jimmy Moore""",The Pinnacle Diabetes Bible Just Got Better,5.0
,Good information from a dedicated individual,5.0
Andy,this book is saving my life,5.0
Armchair Interviews,Are you one of the 25% of older Americans with Type 2 diabetes?,4.0
Jocelyne Slough,Must Check Thyroid,5.0
Bill Jordin,A Diabetes Compendium,5.0
"Thomas G. Roff ""winglover""",Best diabetes information I have found.......Required reading for all diabetics,5.0
"Katia Bennetti ""The book girl""",A book for all diabetics and their families,5.0
"J. P. Narkinsky ""Amphigory""",The proof is in the... not pudding...,5.0
m,Excellent book,5.0
"MM Quite Contrary ""me""",Inspiring and Important Story,5.0
Sujit Kumar Biswas,best diabetes book,5.0
Connie Chapman,This book saved my life,5.0
JimD,Book was recommended by a close friend,4.0
emeike,Dr. Bernstein's Diabetes Solution:The Complete Guide to Achieving Normal Blood Sugars Revised & Updated,5.0
"Blake V. Blakey ""Patch Blakey""",This Guy Cages Diabetes,5.0
Acquafortis,A must read!,4.0
pjl,Dr. Bersteins Diabetic solution,5.0
rred86,Good book for Novice,5.0
Richard L. Morris,well written every diabetic should read this book,5.0
M. Miller-Allen,THIS BOOK SAVES LIVES,5.0
"Dirk Price ""Dirk""",A practical life-saving guide.,5.0
"David Sagers ""David Sagers""",Not Really for Diabetes II,1.0
anastasia dzerniyeneva,strait to the looney bin,1.0
"N. Roberts ""nanjean""",Misleading,1.0
Peter C. Kopff,"By following Dr Berntein's recommendations in Diabetes Solution, my glycohemaglobin A 1 c values normalized.",5.0
"Tom Holzel ""Tholzel""","A solution, but harsh, for many diabetics",4.0
"""tasharruf""",Pretty good,5.0
Patricia A. Law,Dr. Bernstein's Diabetes Solution,5.0
"Mauro S. A. Anna ""MSAS""",Dr. Bernstein does it again!,5.0
Effie,Dr. Bernstein's Diabetes Solution has given me back my life,5.0
"Mary R. Kolk ""The Diabetes Lady""",Life Saving Book for Diabetics!!!!,5.0
"Gram B ""healthier & learning""",If You Are Pre-diabetic You Need This Book,5.0
An Average Joe,Who's the quack now?,5.0
"K. Song ""MadLava""","Tough, Intensive but Effective . . . but Not Much Left to Eat",4.0
"I. Zack ""Ian""",Highest recommendation!!,5.0
John Casey,The best book on diabetes management!,5.0
D. Nunez,"Very HIGH energry now Because I know what to eat, and not eat!",5.0
Iosaig,The only book on diabetes you need.,5.0
Reeni Stezaker,Great Update!,5.0
Iona Tamsin Stewart,"An essential book for all diabetics, especially those using insulin",4.0
Bob,The Solution: Properly Titled,5.0
Valerie Silver,Comprehensive Diabetes Information,5.0
Roger M. Moery,This is the bible for diabetics and low carbers!,5.0
"Barbara V. Ford ""valerie""",WOW and double WOW!,5.0
"Edward Fan ""Twilight Mom""",Diabetes Solution,5.0
kaukaty,Required Reading,5.0
"Janet D. Pursel ""Songbird7777777""",Diabetes Solution,5.0
"Richard E. Jansak ""Duke from NC""",Diabetic Solutions,5.0
F. R. Wuensche,Works For Me,5.0
"Brett C. Abbott ""Brett A.""",good book great deal and am glad I used this seller,5.0
J. Hare,Yes and No; Better for Type 2s,3.0
"Ma'rifah ""BGA""",This Book nearly Killed Me - No Kidding,2.0
"V. Tucker ""VT""",DIabetic book,3.0
Mariana,totally different!,5.0
"CC ""miciosmom""",Another useful book,4.0
Faramarz Mohammadian,This book is a mind candy,5.0
Raymond W. Barton,Diabetes Solution,5.0
LJKB,To the Diabetics among us.,5.0
Connie4849,Dr. Richard K.Bernstein's Book is Well Named.,5.0
Bert W. Fox,Diabetes Control,5.0
Krishnarao Dandamudi,Excellent,5.0
"Dave Brickner ""CampCook""",A real answer for diabetics,5.0
T. F. Hanratty,"Finally, control over diabetes",5.0
Catherine S Daniels,Not much of a solution,3.0
R. Rushing,A LIFESAVER-IF YOU'RE SERIOUS ABOUT YOUR HEALTH,5.0
Pamela Maltzman,"A mountain of information, but well worth it",5.0
T. Slaughter,Real Medicine without a gimmick,5.0
"Anne Rice ""Anne Rice""",The Best Book on Diabetes That I have Ever Read,5.0
Donna J. King,This book changed my life.,5.0
"Norma S. Dalton ""Mama D""",Life Changing Book!,5.0
Cornelius Matwijecky,A DIAMOND IN THE ROUGH,5.0
"Kevin S. Fansler ""Low carb enthusiast""",This book needs a much larger audience.,5.0
slo,This book can save your life,5.0
"E. A. Lovitt ""starmoth""","Of all chronic conditions, diabetes is the most difficult to control.",5.0
T. R. Whitaker,I Only Wish I Found This Sooner,5.0
,Very educational,5.0
ADDDad,Dr. Bernstein Is First to Tell the Truth,5.0
Roy N.,Dr. Bernstein's Diabetes Solution: The Complete Guide to Achieving Normal Blood Sugars,5.0
Douglas S. Whyte,The Type 2 Diabetes Answer.,5.0
Angie,This Book Is Fabulous!,5.0
Jay,A plan that works,5.0
Sheldon M. Wolf,"Outstanding, important book",5.0
Mary Ellen Dobrowolski,Changed my Diabetic life!,5.0
Sequim G'ma,Helpful Diabetes Book,5.0
"heartablaze1 ""heartablaze1""",Wonderful history of kitchen management and cooking!,5.0
kolehala,WOW!?,3.0
Sunbunny064,Lame,2.0
Karen Pilcher,The Century Cookbook,3.0
"Daniel R. Baker ""Daniel R. Baker""","""I'll teach you to forget the pain! I'll make life roses for you, Gary!""",1.0
Graham Henderson,A genuine pleasure to read and packed with surprises.,4.0
Harry Raugh,Brilliant blend of narration and operational explanation!!!,5.0
D. Schlaudecker,Excellent Book on this portion of the Eastern Front,5.0
Gilbert H Pingel,Rich academic study. Accurate and informative.,5.0
"""ian-p-rennie-2""",Luftwaffe strategic and operational history at its best.,5.0
,"Mainly on the Axis forces, but otherwise hard to fault",5.0
Cynth Ellen Leeds,One of the standard works essential to researchers!,5.0
Meeks Shankland,As good as the guy's new book on Horatio Nelson.,5.0
Eugene Kahn,Very impressive book that deserves its high reputation.,5.0
,An excellent and compelling study,5.0
"Charles Karnes ""Reagan Karnes""",Lessons for Leaders,5.0
J Maich,Worth 5 stars!,5.0
R. A Forczyk,"A Dry, Academic Analysis of von Richtofen's Diary",3.0
,Not entirely satisfied here,3.0
"""bigbrian12""",Thorough and outstanding book on Stalingrad,5.0
Robjrich@aol.com,"Meticulous text, dry treatment, but poor index.",4.0
Scott Walker,"Superbly written, highly detailed",4.0
